,CASE_NUM,datetime,LONGITUDE,LATITUDE,score
19092,SAPD16261786,12/1/2016 6:00,-98.53001716,29.42604444,9.262710503
19189,SAPD16261863,12/1/2016 6:15,-98.4227758,29.52058809,11.31806349
19194,SAPD16261486,12/1/2016 6:23,-98.54360744,29.44351166,22.78034634
19190,SAPD16261760,12/1/2016 6:30,-98.51485879,29.41989401,36.69386643
19091,SAPD16261870,12/1/2016 7:55,-98.53165352,29.40307786,36.84481764
19090,SAPD17008783,12/1/2016 8:00,-98.45776828,29.36896986,35.31023397
19080,SAPD16261843,12/1/2016 9:00,-98.51301107,29.46054304,61.87069844
19089,SAPD16261463,12/1/2016 9:00,-98.52144787,29.42758009,88.35523269
19078,SAPD16261513,12/1/2016 10:00,-98.58570692,29.42374252,71.28392587
19086,SAPD16261675,12/1/2016 10:00,-98.64444834,29.40923994,48.76972455
19087,SAPD16261626,12/1/2016 10:00,-98.51904901,29.44428807,78.8975212
19085,SAPD16262612,12/1/2016 12:00,-98.47439732,29.41806106,90.27441238
19084,SAPD16261698,12/1/2016 14:45,-98.51641576,29.43430119,159.3905139
19083,SAPD16263355,12/1/2016 15:00,-98.53465211,29.44248353,146.6135496
19082,SAPD16261750,12/1/2016 15:47,-98.36342881,29.46336951,65.75364918
19081,SAPD16264096,12/1/2016 16:00,-98.47555444,29.63842684,22.71091685
19093,SAPD16261985,12/1/2016 20:00,-98.48987857,29.35949626,142.7012647
18516,SAPD16266620,12/2/2016 0:00,-98.52551789,29.34655134,139.8248855
18495,SAPD16266885,12/2/2016 0:01,-98.57280726,29.52288312,134.2612576
18470,SAPD16264948,12/2/2016 4:00,-98.67269443,29.51087717,84.264409
18506,SAPD16262597,12/2/2016 5:30,-98.43407679,29.48919448,175.8086901
18514,SAPD16262822,12/2/2016 7:00,-98.36790485,29.46779121,131.5088511
18515,SAPD16262671,12/2/2016 7:00,-98.51736236,29.45322201,264.0504282
18513,SAPD16262433,12/2/2016 7:50,-98.5091221,29.47436152,258.6083808
18482,SAPD16262296,12/2/2016 9:39,-98.54400192,29.45113761,297.3827405
18512,SAPD16262750,12/2/2016 10:00,-98.40417411,29.49681388,188.5661887
18505,SAPD16262653,12/2/2016 11:50,-98.55809436,29.41570405,284.8644873
18511,SAPD16262642,12/2/2016 12:00,-98.4856088,29.33830005,197.5127195
18510,SAPD16262396,12/2/2016 12:01,-98.53189824,29.41301544,304.4982544
18504,SAPD16263729,12/2/2016 16:00,-98.48863612,29.36950667,277.0875096
18509,SAPD16266872,12/2/2016 17:15,-98.49155327,29.36395864,291.6945926
18508,SAPD16264066,12/2/2016 18:00,-98.44953823,29.3997476,296.1561128
18507,SAPD16265439,12/2/2016 23:00,-98.44643707,29.35402601,269.8140475
17803,SAPD16262969,12/3/2016 0:10,-98.54315046,29.47885197,325.4578971
17813,SAPD16263056,12/3/2016 3:38,-98.37835043,29.49707273,222.5315331
17812,SAPD16263469,12/3/2016 9:00,-98.57212999,29.33102479,248.7279993
17805,SAPD16263197,12/3/2016 10:00,-98.44947568,29.41940017,358.2499595
17811,SAPD16264654,12/3/2016 12:00,-98.51596695,29.4290106,441.3683072
17804,SAPD16264026,12/3/2016 18:45,-98.50515223,29.41626007,468.8005332
17810,SAPD16263565,12/3/2016 20:00,-98.55447354,29.45167597,431.4642103
17809,SAPD16264738,12/3/2016 21:30,-98.49384391,29.39242975,470.9261463
17808,SAPD16264139,12/3/2016 22:00,-98.47437624,29.40289959,449.4654047
17807,SAPD16263822,12/3/2016 23:00,-98.534722,29.571111,200.1113676
17325,SAPD16263692,12/4/2016 1:04,-98.52014306,29.55192649,255.3679643
17295,SAPD16263770,12/4/2016 3:30,-98.42491282,29.45581718,389.4123147
17324,SAPD16264029,12/4/2016 6:00,-98.42814096,29.52468413,323.0922614
17319,SAPD16263781,12/4/2016 6:10,-98.55206618,29.42227215,503.3447005
17307,SAPD16264153,12/4/2016 12:00,-98.54521631,29.51170764,382.0766197
17318,SAPD16263986,12/4/2016 13:35,-98.58041332,29.56100049,273.647039
17323,SAPD16273322,12/4/2016 20:00,-98.56417889,29.51561913,411.7549031
17317,SAPD16264230,12/4/2016 20:20,-98.56392197,29.49032434,473.1281617
16678,SAPD16264881,12/5/2016 5:00,-98.54875911,29.51996534,465.3323339
16702,SAPD16264834,12/5/2016 5:50,-98.64541284,29.46269196,321.105863
16701,SAPD16264898,12/5/2016 6:30,-98.67166466,29.50711676,248.0352652
16700,SAPD16264903,12/5/2016 6:45,-98.47377268,29.57604112,324.1335574
16699,SAPD16264927,12/5/2016 7:45,-98.60706745,29.53593722,366.5982205
16696,SAPD16264787,12/5/2016 8:00,-98.604444,29.530833,403.9637625
16697,SAPD16264820,12/5/2016 8:00,-98.44369488,29.58356388,295.5442756
16698,SAPD16264921,12/5/2016 8:00,-98.57687456,29.48137221,549.5453911
16695,SAPD16264910,12/5/2016 8:15,-98.4889528,29.56611311,387.4204626
16676,SAPD16264579,12/5/2016 9:00,-98.37489717,29.55442658,256.1116165
16694,SAPD16264515,12/5/2016 9:00,-98.40486394,29.54565159,359.2705373
16693,SAPD16264625,12/5/2016 9:30,-98.54305518,29.40393104,574.8885978
16675,SAPD16264596,12/5/2016 10:20,-98.55990609,29.4914023,599.0166857
16692,SAPD16264680,12/5/2016 10:30,-98.4729902,29.58067325,384.9633618
16691,SAPD16264619,12/5/2016 11:00,-98.56813711,29.5520274,447.2890986
16690,SAPD16264631,12/5/2016 11:42,-98.55860695,29.55907704,465.8926758
16677,SAPD16264922,12/5/2016 12:00,-98.527222,29.390556,590.4291493
16689,SAPD16264955,12/5/2016 15:00,-98.51858912,29.54799074,541.2126841
16688,SAPD16264792,12/5/2016 15:07,-98.57030407,29.48405829,686.7897804
16687,SAPD16264856,12/5/2016 16:15,-98.63655702,29.45351902,481.5743008
16686,SAPD16270708,12/5/2016 17:00,-98.50765612,29.44349383,727.0518105
16652,SAPD16264943,12/5/2016 17:08,-98.53139551,29.4345393,750.9717909
16668,SAPD16264980,12/5/2016 18:00,-98.56618409,29.42597555,675.895553
16667,SAPD16265327,12/5/2016 18:30,-98.63423206,29.56669713,362.3196236
16685,SAPD16264976,12/5/2016 19:31,-98.60491754,29.56527158,446.3753715
16683,SAPD16265305,12/5/2016 21:00,-98.42483395,29.41065751,546.3465744
16684,SAPD16265701,12/5/2016 21:00,-98.49158925,29.42440184,742.1552315
16682,SAPD16265344,12/5/2016 22:00,-98.47418902,29.40214405,689.2244821
16082,SAPD16265144,12/6/2016 0:30,-98.60257168,29.46863878,673.5657208
16081,SAPD16265171,12/6/2016 3:05,-98.557222,29.545833,650.3572801
16080,SAPD16265651,12/6/2016 5:00,-98.42468304,29.41025436,596.6362113
16079,SAPD16265846,12/6/2016 6:00,-98.50783108,29.36324823,646.7318173
16078,SAPD16265842,12/6/2016 6:30,-98.52157582,29.4070068,823.8181819
